id,final,category,severity,feet_x,feet_z,object,reason,image
cl_000_prop0,confirmed_real,屋顶/檐角/屋脊,high,277.98,146.0,"pavilion roof upper-right slope, vertical gold hip rod and curled gold horn","About 30 px of teal roof slope, the gold hip rod and the curled horn at chest height are drawn under the actor's left half. The facade and base run off the panel, 70+ px south of the feet (seen in a wider crop), so the roof is in front.",cl_000_prop0.png
cl_031_prop0,confirmed_real,屋顶/檐角/屋脊,high,289.84,146.0,pavilion roof upper edge with two curled gold horns,"The building runs off the panel to the south. The roof edge and one horn are under the lower torso and legs, and a second horn is partly under the right arm.",cl_031_prop0.png
cl_108_prop0,confirmed_real,树冠/树干,high,100.0,146.0,market-stall parasol canopy (east third) and thin stall pole,"The canopy is raised on a pole. The next parasol south shows its pole about 3.7 u long, so this canopy's pole base is roughly 2 u south of the feet, inside the blocked stall cluster. The canopy's east third hangs over walkable paving and is drawn under the legs and lower torso. So is the thin pole b",cl_108_prop0.png
cl_110_prop0,confirmed_real,树冠/树干,high,261.87,143.99,"garden tree crown top rising over the terrace balustrade, plus the balustrade rail","The tree's trunk stands about 9 u south in the garden below the terrace. Its crown top rises about 1.8 u above the stone rail at the feet line and sits behind the right leg and boots. The rail itself belongs to the balustrade, whose base is south, and it is also drawn under the boots.",cl_110_prop0.png
cl_065_prop0,confirmed_real,灯柱/宝顶,high,237.84,135.99,"teal lamp body, gold ring and gold top","The lamp stands on a square pedestal whose footprint is about 1.5-4 u south. Its west half (teal body, gold ring, edge of the gold top) is under the character's right side.",cl_065_prop0.png
cl_011_prop0,confirmed_real,柱/门/牌坊,high,129.98,129.98,kiosk SE corner post and the column of goods beside it,"A wooden corner post runs from the kiosk eave down to its front base about 33 px south of the feet, and it lies under the actor's left side. That alone makes this real. The gold pumpkin and jars beside it are probably a display on that corner. If they are instead a row of goods on the ground, the on",cl_011_prop0.png
cl_153_prop47,confirmed_real,灯柱/宝顶,high,185.84,127.98,lamp gold finial + teal cap top,"The lamp's square pedestal runs from about 1u to 5u south. The gold finial (up to about 2.3u above the feet) is fully inside the right leg/pants, and the top of the teal cap is under the right boot.",cl_153_prop47.png
cl_203_prop48,confirmed_real,灯柱/宝顶,high,211.87,127.98,teal lamp gold finial and cap,"This is the same lamp type as the control, with its plinth far south. The finial tops out about 46 px above the feet. The right leg hides the left ~40% of the finial and the upper-left of the teal cap.",cl_203_prop48.png
cl_129_prop0,confirmed_real,灯柱/宝顶,high,167.87,125.98,stone lantern's wide gold cap (west third) and upper stone body,"The lantern's pillar base is about 5 u south. The west third of its wide gold cap and the stone body below it sit behind the torso, bag and legs. The finial stays mostly visible.",cl_129_prop0.png
cl_167_prop0,confirmed_real,屋顶/檐角/屋脊,high,106.01,125.98,roof ridge beast figurine + gold ridge line,"The roof belongs to a building whose front gate is about 6u south. The small figurine standing on the ridge is under the left leg, and the gold ridge line is under both boots.",cl_167_prop0.png
cl_051_prop0,confirmed_real,树冠/树干,high,85.84,124.02,lantern gold umbrella canopy,"The lantern's post runs down to a base about 3.5-4 u south. The west part of its gold canopy, about 0-4 u north of the feet, is drawn under the character's right leg and torso.",cl_051_prop0.png
cl_089_prop0,confirmed_real,屋顶/檐角/屋脊,high,117.87,124.02,gate pavilion's blue roof left edge + gold eave bracket,"The steps and base are 35-75 px south of the feet. At 4x the roof's left ~15 px strip with its gold edge trim (over ~80 px of height) and the lower-left gold bracket are hidden by the right arm, pouch and right leg.",cl_089_prop0.png
cl_019_prop0,confirmed_real,雕像/石狮/石件,high,229.98,122.02,stone pedestal shaft with gold ring emblem and gold vessel top,"The plinth is 60-70 px south of the feet. The shaft and emblem are under the legs and torso, and the vessel is behind the head.",cl_019_prop0.png
cl_107_prop0,confirmed_real,灯柱/宝顶,high,283.98,122.02,gold orb finial in the rounded cap of the stair-balustrade newel,"The orb sits in the rounded top of the newel at the north end of the balustrade that runs south beside the stairs. That strip is blocked. The newel's front face drops about 0.8 u below the feet line before joining the rail, so its base is south of the feet. The orb (about 1.3 u tall) and the arch of",cl_107_prop0.png
cl_069_prop0,confirmed_real,屋顶/檐角/屋脊,high,125.98,106.01,roof north edge upturned gold eave curl and tiles,"The character stands on a narrow E-W walkway right behind the roof. The roof's north-edge gold curl, about 3 u north, and its tiles are covered by the left arm, torso and legs. The facade is 7-9 u south.",cl_069_prop0.png
cl_199_prop0,confirmed_real,屋顶/檐角/屋脊,high,137.84,106.01,dark-teal dragon crest on south roof ridge,"The crest sits on the ridge of a building whose base is far south. Its tall spike (x +6..+26 px, top about 38 px above the feet) is mostly under the right leg, and a small spike is under the left boot. The gold spire is to the right and stays visible.",cl_199_prop0.png
cl_161_prop0,confirmed_real,屋顶/檐角/屋脊,high,75.88,104.0,roof ridge-end ornament (teal curl + gold ball),"The roof belongs to a building extending 7u+ south. Its ridge-end curl with the gold ball, about 1.4u above the line, is fully under the boots and legs. The tall gold finial post just touches the right hand's edge.",cl_161_prop0.png
cl_091_prop0,confirmed_real,屋顶/檐角/屋脊,high,105.86,102.0,kiosk roof top edge + trunk and crown of the tree behind it,"At 4x the tree's pale trunk is visible from the crown down to the feet line, where the roof hides it, so the tree's base is south. The kiosk base is far south. The boots cover the roof's upper edge (6-8 px deep); the upswept tip itself shows between the legs. The right leg covers the trunk, and the ",cl_091_prop0.png
cl_097_prop0,confirmed_real,屋顶/檐角/屋脊,high,83.98,102.0,teal roof's upswept eave corner with gold trim,"The roof continues more than 120 px south to its building. At 4x the gold eave tip (~65 px north) and the teal roof below it are hidden by the gourd, arm and legs. The gold pole to the east only touches the sprite edge, with no real overlap.",cl_097_prop0.png
cl_028_prop51,confirmed_real,树冠/树干,high,277.98,98.0,tree crown top,"The trunk is visible down to about 80 px south of the feet, where it goes behind a roof ridge, so the base is at least that far south. The crown top rises into the legs and hips.",cl_028_prop51.png
cl_116_prop53,confirmed_real,屋顶/檐角/屋脊,high,313.87,96.0,tall crown tuft of the hedge between the paving edge and the hall roof,"The hedge grows in the bed that starts at the feet row and runs south to the hall roof; the roof's gold ridge ornaments overlap its lower edge. Its base is therefore about 1-1.5 u south. The tallest tuft rises about 2.7 u north, and its west side and peak sit behind the legs and hips. It is upright ",cl_116_prop53.png
cl_136_prop53,confirmed_real,屋顶/檐角/屋脊,high,305.86,96.0,crown tuft of the hedge between the paving edge and the hall roof (same hedge as cl_116),"This is the same hedge as cl_116: rooted in the bed south of the feet row and in front of the hall roof, with its base about 1-1.5 u south. A tuft peak about 2.4 u tall sits behind the legs and hips, with foliage visible on both sides.",cl_136_prop53.png
cl_053_prop0,confirmed_real,其他,high,177.83,93.99,gold ornament and teal fan on a stepped square plinth,"The plinth's top face and front face put its whole footprint about 1.5-5 u south of the feet. The ornament on top is drawn 0-5 u north of the line, and its west 40% (fan wing and spire) is covered by the right leg and torso.",cl_053_prop0.png
cl_094_prop52,confirmed_real,屋顶/檐角/屋脊,high,217.87,93.99,stone pagoda lantern roof + gold crown,The plinth is ~85-100 px south of the feet. The left upturned teal eave and the left part of the gold crown (≈40 of its ~90 px width) are hidden behind the legs and torso.,cl_094_prop52.png
cl_023_prop51,confirmed_real,屋顶/檐角/屋脊,high,289.99,91.99,"pavilion roof NE corner (gold ridge rod, eave horn) and white doorway frame top","The roof corner and the frame beside it both run down to the facade and frame base 70+ px south. The gold rod, horn and frame corner are under the legs.",cl_023_prop51.png
cl_178_prop0,confirmed_real,店铺/货摊/货物,high,101.76,89.99,wooden crossbar rack of the market stall,"A rack with two uprights and crossbars stands at the stall table, and its left upright continues down in front of the table. Its base is at least 5 px south of the feet (the table's back edge) and probably ~40-50 px (the ground). It rises ~30 px, and both legs hide it almost completely. The left edg",cl_178_prop0.png
cl_146_prop0,confirmed_real,其他,high,91.85,85.99,"gilded ribbed dome: shoulder figurine, side handle, rim","The dome structure's body, lower ring and sphere run 7u+ south, with a cast shadow to the SW. The dome top above the line has a small dark figurine under the right hip/leg. The side handle bar and knob are under both boots, and the upper-left rim is under the right leg.",cl_146_prop0.png
cl_092_prop0,confirmed_real,树冠/树干,high,268.02,77.98,garden tree crown,"A thin trunk runs from the crown bottom at the line down into the garden bed, ~40-50 px south. The crown reaches ~47 px north and is mostly hidden behind the legs.",cl_092_prop0.png
cl_007_prop0,confirmed_real,树冠/树干,high,281.98,75.98,tall garden tree's upper crown,"A single thin trunk runs from the crown down to at least 100 px south of the feet (checked in a 3x outline view), so this is a tall tree based far south. Its upper crown fills the legs and hips and is painted over today.",cl_007_prop0.png
cl_148_prop0,confirmed_real,树冠/树干,high,312.01,75.98,tree crown top lobes,"The trunk descends to the building roof line about 3.7u south. The crown's top lobes reach about 1.8u above the feet and are under the left boot, the lower pants and the inner edge of the right boot.",cl_148_prop0.png
cl_070_prop0,confirmed_real,灯柱/宝顶,high,175.88,74.02,gold urn finial on balustrade end post + E-W balustrade top rail,"The urn sits on the grey end post of the E-W balustrade. That post runs down to the shrub line, about 30 px south of the feet. The actor's right arm, hand and pouch hide the urn's left ~40% and its white spike tip, the same pattern as the calibration lamp. The balustrade's own base is ~10 px south, ",cl_070_prop0.png
cl_086_prop0,confirmed_real,树冠/树干,high,237.84,74.02,tree crown + E-W balustrade top rail,"The trunk runs down to the waterside terrace, ~100+ px south. The crown's upper-left (up to ~47 px north) is hidden behind the legs. As in cl_070, the balustrade's base is ~10 px south and its top rail is under the boots.",cl_086_prop0.png
cl_112_prop0,confirmed_real,屋顶/檐角/屋脊,high,289.99,74.02,pavilion east upturned gold eave corner and upper roof edge,"The pavilion's walls and steps are about 4-5 u south. Its east upturned gold eave tip and the gold-trimmed upper roof edge rise north of the feet line and fall inside the leg outline, where they are drawn under the character. The ridge finial to the west stays clear.",cl_112_prop0.png
cl_118_prop0,confirmed_real,灯柱/宝顶,high,224.02,74.02,"gold bulb finial on the pool balustrade corner post, and the top rail","The corner post's dark shaft and the balustrade wall run about 3 u south of the feet line. The finial's east half is covered by the gourd and left leg, and the boots cover the top rail. Both belong to an upright balustrade whose base is south.",cl_118_prop0.png
cl_123_prop0,confirmed_real,雕像/石狮/石件,high,137.99,70.02,large stepped stone urn: east half of gold mouth rim and upper shoulder,"The urn stands in a round bed ringed by gold lions, with its foot about 4-5 u south. Its gold mouth and stepped shoulder are drawn north of the feet line. Their east half is covered by the gourd and left leg.",cl_123_prop0.png
cl_066_prop54,confirmed_real,屋顶/檐角/屋脊,high,96.0,68.02,ridge-beast ornament where two teal roofs meet,The ornament sits where a N-S roof's east eave meets the lower roof's NW corner. Both buildings are based well south; the lower facade is 7-9 u south. The legs and torso cover most of the beast.,cl_066_prop54.png
cl_098_prop0,confirmed_real,屋顶/檐角/屋脊,high,152.0,62.01,"domed pavilion's east side: corner gem, dome edge, gold scroll brackets","The wide view shows the pavilion's stepped platform extends ~65 px south of the feet, and the actor stands against its east flank. The gem sits on the roof's east corner, whose footprint lies on the pavilion's mid-line, south of the feet. The gem, dome edge and brackets are hidden behind the left ar",cl_098_prop0.png
cl_200_prop0,confirmed_real,屋顶/檐角/屋脊,high,135.84,58.01,teal dragon crest on south roof ridge,"The crest is ~24 px tall on a roof whose base is far south. The left boot covers the head's left edge and the right leg covers the middle (+5..+21 px). The head is still visible between the legs, so it does not fully disappear. The gold spire and the bush are outside the silhouette.",cl_200_prop0.png
cl_096_prop0,confirmed_real,屋顶/檐角/屋脊,high,291.85,56.01,crown of the tree whose trunk goes behind the blue roof,"The trunk and branches are visible down to ~60 px south, where the roof hides them. It is one crown mass, and its left-middle lobe (dy -47..0) is under the legs and hip.",cl_096_prop0.png
cl_171_prop0,confirmed_real,树冠/树干,high,308.01,52.0,small tree crown right lobes,"The trunk runs down to the roof-line greenery about 2.5-3.7u south. The crown's right lobes are under the left leg, the gap between the legs and the right boot.",cl_171_prop0.png
cl_170_prop0,confirmed_real,树冠/树干,high,117.87,50.0,"tree crown top (a tree, not just a bush)","The wider view shows a trunk descending to about 5u south, with its shadow thrown west. The crown top rises about 1.5u above the feet and is under both boots and the lower pants.",cl_170_prop0.png
cl_159_prop0,confirmed_real,灯柱/宝顶,high,95.65,46.0,gold lantern head on a curved post,"The lantern post plants into a rock pile about 1.2-2.7u south. The gold lantern head sits behind both legs and the pants, and only the thin hook shows below the right boot.",cl_159_prop0.png
